Two Centenary Goals,无
"spending on official overseas visits, official vehicles, and official hospitality",无
the Belt and Road space information corridor,无
commercial licenses for 5G,无
patriotic united front,无
the eight-point decision on improving Party and government conduct,无
removing protective umbrellas,无
shake off poverty, 摆脱贫困
the Arctic shipping routes,无
remain true to our original aspiration,无
Ministers' passage,无
toilet revolution,无
competitive election,无
Long March,"n. 【史,事】长征
"
urban heat island effect,"《英汉医学词典》urban heat island effect
城市热岛效应"
pass on the traditions of revolution,无
trail-blazing move,无
pro-innovation government,无
It takes a good blacksmith to make good steel.,无
campaign to prevent and control air pollution,无
Party rule,无
Party regulation,无
amendment to the Party Constitution,无
surface-to-surface conventional missile,无
sub-national cooperation,无
independent charge,无
multilateralism,n. 多边主义
Anti-Secession Law,无
fight corruption and build a clean government,无
anti-graft inspections,无
risk map,风险图
poverty alleviation, 扶贫；减贫；减轻贫困
poverty relief,无
subcenter,n. <美>次要中心，（商业等的）次中心区; 子中心
reform promoters,无
reform and opening-up, 改革开放；改革和开放
Hong Kong people administering Hong Kong,无
personal asset declaration,无
work style,"un. 工作作风
"
public diplomacy,群众外交，民间外交
public hospital reform,无
collaboration,n. 合作；勾结；通敌
participation and common interests,无
"extensive consultation, joint contribution and shared benefits",无
supply-side structural reform,无
critical minority,无
domestically aircraft carrier,无
home-built aircraft carrier,无
defense and military reforms,无
national security,"n. 〔政〕国家安全
"
national park system,无
national supervision system,无
State Preeminent Science and Technology Award,无
naval parade,无
Strait Exchange Foundation,无
a maritime community with a shared future,无
unprincipled nice-guyism,无
peaceful development,无
Five Principles of Peaceful Coexistence,"un. 和平共处五项原则
"
river chief system,无
internet Plus government services,无
environmental police force,无
Rocket Force,无
spirit of partnership,无
sense of gain,无
point-based household registration,无
democracy at the grassroots level,无
grassroots democracy, 草根民主；绿色基层民主；草根性民主之称
grassroots election,无
integrated development of the Beijing-Tianjin-Hebei region,无
economic hegemony,无
elite and powerful force,无
streamline government organs,无
government streamlining,无
the 1992 Consensus,无
military-civilian integration,无
Scientific Outlook on Development, 科学发展观；科学发展观的要求；社会科学发展观
tempering justice with mercy,无
Cold War mentality,无
theoretical exploration,无
historical and cultural heritage,无
code of ethics, 道德规范；道德准则；廉政准则
"have no worry about food and clothing and have access to compulsory education, basic medical services, and safe housing",无
"all Party members to gain a good command of the Party Constitution, Party regulations, and related major policy addresses and to meet Party standards",无
zero-sum game, 零和游戏，零和竞赛，零和对策; 零和比赛; 零和博奕
consular protection,无
territorial coordinates,无
green development, 绿色开发；绿色发展；绿色发展论
green mountains and lucid waters are indeed mountains of gold and silver,无
trade bullying,无
trade war,"un. 贸易战
"
Beautiful China,无
remove somebody from the position,无
wellbeing of the people,无
regional autonomy of ethnic minorities,无
national identity,"na. 民族面貌
"
test each step before taking it,无
advance cautiously,无
grope across the river by feeling the way,无
Ping Pong Diplomacy, 乒乓外交；乒乓外交史；乒乓球外交
pioneering basic research,无
seek common ground on major questions while reserving differences on minor ones,无
delegate power,无
national census, 人口普查；全国人口普查；国家人口普查
National People's Congress,"n. 【中】全国人民代表大会
"
the joint combat system of the armed forces,无
finish building a moderately prosperous society in all respects,无
globalization 4.0,无
global governance system,无
mass line, 群众路线；群众路线观
island patrol,无
talent-strong country,无
population development strategy,无
a community of shared future for mankind,无
the people's aspirations to live a better life,无
three critical battles,无
three tough battles,无
three evil forces,无
"issues concerning agriculture, countryside and farmers",无
"three direct cross-Straits links, namely mail, transportation, and trade",无
the 3+3 Initiative,无
Shanghai Spirit,无
social security fund, [医]社会保险基金
social security system,"un. 社会安全制度
"
the principal contradiction facing Chinese society,无
core socialist values,无
socialist democracy, 社会主义民主政治；解析社会主义民主
a great modern socialist country,无
auditing-based oversight,无
community of shared life,无
eco-safety barrier,无
ecological red line,无
environmental quality,"un. 环境质量
"
ecological migration,无
real combat training,无
innovative and entrepreneurial talent,无
be expelled from the CPC and removed from public office,无
judicial independence, 司法独立；审判独立；司法独立性
Four-pronged comprehensive strategy,无
"consciousness of the need to maintain political integrity, think in big-picture terms, follow the leadership core, and keep in alignment",无
"confidence in the path, theory, system, and culture of socialism with Chinese characteristics",无
"formalities performed for formalities' sake, bureaucratism, hedonism, and extravagance",无
the Four Cardinal Principles,无
carbon intensity, 碳浓度；碳强度；碳密集度
a leading sporting nation,无
land reclamation,"na. 开垦荒地
"
statistical inspections,无
the united front,无
the 10-Chapter Soil Pollution Action Plan,无
anti-online terror drill,无
community of shared future in cyberspace,无
cyberspace governance,无
