5G era,无
70-year term of land use,无
A4 waist,无
dark matter,"n. 暗物质（根据一些理论，指太空中不反射光的物质）
"
hundred mark system,无
Centenary Goal,无
monthly subscription service,无
nanny blacklist,无
Conservative leadership race,无
postgraduate recommendation,无
cash deposit,"un. 现金存款
"
therapeutic massage, 保健按摩；治疗性按摩；治疗式按摩
shelf life,"n. 最佳食用日期
"
off the charts, 好得没治了；破记录；智商高的惊人
mayhem,n. 故意的伤害罪；重伤罪；蓄意的破坏
backpack tour,无
tragedy trump card,无
Beijing repose,无
endorse,vt. 背书；认可；签署；赞同；在背面签名
extortive donation,无
disdain chain,无
closed-book exam,无
sidestep taxes,无
compulsory course, 必修课；必修课程；妆造型必修
disguised inflation, 变相涨价be driven to drastic alternatives
lip service,"n. 空口的应酬话；口惠
"
stay true to the mission,无
unified real estate registration system,无
inappropriate behavior, 行为不适当；不恰当与不雅的行为；不恰当的行为
ministers' passage,无
asset declaration,无
financial fraud,n. 金融诈骗
betrothal gifts, 彩礼；订婚时男方送给女方的彩礼；聘礼
color run, 甩色；彩色跑步；彩色赛跑
participatory poverty-reduction,无
dining table pollution,无
market manipulation,"un. 市场操纵
"
toilet revolution,无
tea ceremony,"n. 茶道（日本沏茶和饮茶的礼仪）
"
sado,n. 茶道; [地名] [尼日利亚] 萨多
postpartum grooming,无
maternity bed,无
excess manufacturing capacity,无
overcapacity,n. 生产能力过剩
the Long March, 长征；金沙水拍；长途行军
long-haul flight,无
put on a rival show,无
excessive consumption,"un. 过度消耗
"
outdo oneself,"na. 得到空前成绩；尽自己最大的努力
"
supercomputer,n. [计] 巨型计算机，超级计算机
Super Tuesday,"na. 〈美〉超级星期二
"
superdelegate,n. 超级代表（美国出席民主党全国代表大会的非初选中的党员挑选的代表）
residents of Chaoyang district,无
auto show model,无
traffic subsidy,无
shirk,"vt. 逃避
vi. 推卸；逃避
"
pass the buck,"na. 推卸责任
"
sense of achievement, 成就感；有成就感；工作成就感
fuel pricing scheme,无
urban management officer,无
urban diseases,无
city cluster,城市组团
inter-city high-speed rail,无
urban air corridor,无
urban housing fund,无
rural-urban integration,城乡整合
urban growth boundary,无
ready-to-wear line,无
be given cold shoulder,无
receive kickbacks,无
sought-after,adj. 受欢迎的，很吃香的
impulse buy,"un. 不在事先计划内的购置
"
rechargeable card, 充值卡；充值卡的英文是；充值卡是
appearance fee,＝ appearance money
enter the next round,无
export duty,"na. 出口税
"
punching bag,"n. 出气筒；沙袋；(练习拳击用的)吊袋
"
maiden work, 处女作；指的就是处女作；贴身欲女
frozen pork reserve,无
traditional Chinese medicine,"na. 中药
"
pyramid scheme, 金字塔骗局；传销；层压式推销
issue registration tickets on site,无
run yellow lights,无
pro-innovation government,无
creative graduation photo,无
briefing,"n. 简报；作战指示
v. 概述；作…的摘要（brief的现在分词）"
secondary disaster, 次生灾害；二次灾害
whip-round,n. 募捐；凑份子
doctor food label,无
taxi-hailing app,无
squeal on someone,无
food stand,"n. 餐店
"
snack stand,快餐摊位
A-list star,无
mass shooting,"un. 集爆；大爆破
"
junior college student, 大专生；专科生；大专生是
full coverage of the serious illness insurance nationwide,无
mass tourism,"un. 大众旅游
"
red alert for fog,无
election anxiety,无
mass affluent class,无
designated driver business,无
substitute teacher,"n. 代课教师
"
gift card, 礼品卡；礼物卡；礼券
traffic restrictions based on even-and odd-numbered license plates,无
re-race alone,无
navigation satellite,"un. 〔军〕航行卫星；导航人造卫星
"
freelance tour guide,无
countdown gala,无
pirated book,无
registered unemployment rate,无
low profile,"na. 隐蔽不露的活动；低姿态的活动
"
vulgar productions,无
vulgar bullet-screen comments,无
phubber,指在社交场合注意力不集中喜欢看手机的人
low fertility trap,无
low-carbon cities,无
discounted subway fares in non-rush hours,无
active seismic period,无
Subway Library,无
earth sinking,无
illegal bank,无
gender-neutral bathroom,无
give a like,无
clickbait,无
telecom fraud,无
e-sports, 电子竞技；电子竞技运动；电子体育
electronic sports, 电子竞技；电子竞技运动
electricity-powered aircraft,无
electronic evidence,电子证据
movie royalties,无
film rating system,无
film panorama,无
electric self-balancing scooter,无
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
degrade oneself, 掉价
pique someone's interest,无
phishing WiFi,无
top talents,无
customized calendar,无
Olympic Winter Games, 冬奥会；冬季奥运会系列；东奥会
ground-breaking ceremony,破土动工仪式
pep talk,"n. 〈非正式〉打气的话；激励人心的话
"
freezing rain,"un. 冻雨
"
jerry-built project,无
unicorn company,独角兽企业
toxic running track,无
toxic soil,毒土
be weaned from milk,无
arms sale to Taiwan,无
outbound direct investment,无
ODI,[计] 开放数据链路接口
multiple-entry visa, 多次入境签证；多次往返签证；多次签证
multilateral agreement on tax matters,无
multi-department structure,无
majority stake, 占大股；大股东
notorious market,无
malicious comments,无
video spoof,无
second-child economy,无
The 24 Solar Terms,无
two-dimensional barcode payment,无
carbon dioxide observatory satellite,无
middleman landlord,无
legal aid,"n. 法律援助（政府或某机构向需要帮助的人提供费用，使其能够寻求法律咨询或聘请律师）
"
legal knowledge, 法律知识；法律常识；法律知识化
anti-graft inspections,无
anti-monopoly probe,无
anti-dumping duty,"un. 反倾销税
"
meal pal,无
instant food,"un. 速熟食品
"
anti-cheating measures,无
property tax,"na. 财产税
"
reduce real estate inventory,无
property ownership certificate,无
kite-flying,n. 放风筝；发行通融票据；开空头支票
release of captive animals,无
illegal fundraising,非法集资
distribute dividends,派息，分红
hierarchical medical system,无
share fridge,无
sharing economy, 分享经济；分享型经济；共享经济
shotgun wedding,"n. 〈古,非正式〉奉子成婚
"
couple face,无
poverty threshold,无
welfare lottery, 福利彩票；天朝福利彩票；福彩
comfort fund,无
auxiliary police,无
pay-to-read,无
subcenter,n. <美>次要中心，（商业等的）次中心区; 子中心
home to the world's most billionaires,无
paternity leave,"n. 陪产假（父亲照顾新生儿的休假）
"
one-trillion-yuan GDP club,无
GDP calculation,无
reform promoters,无
dry spell,"un. 干期；连续干旱
"
superior line,无
high-end dining sector,无
high-risk group,"《英汉医学词典》high-risk group
高度危险人群"
Executive Master of Business Administration, 高级管理人员工商管理硕士；高级工商管理硕士；行政工商管理硕士
EMBA,abbr. 高级工商管理硕士（Executive Master of Business Administration）
high-temperature subsidy,无
farewell match,无
final game,决赛（球类适用）
swan song,n. 最后作品; （歌唱家、演员等的）告别演出; 天鹅哀鸣（西方古老传说中认为天鹅临死前会发出忧伤动听的歌声）
partition,"n. 划分，分开；[数] 分割；隔墙；隔离物
vt. [数] 分割；分隔；区分"
person-to-person mobile payment service,无
personal credit records,无
solo concert, 个人演唱会；独唱音乐会；个人独唱演唱会
work-related injuries,无
craftsmanship spirit,无
wage earners, 雇佣劳动者；工薪阶层；工薪族
open market operation,"n. 公开市场操作
"
public rental housing,无
supply side reform,无
purchase foreign currency,无
shopping scam,无
critical minority,无
bachelor crisis,无
China-made animated film,无
rates for domestic roaming and long-distance calls,无
domestically built aircraft carrier,无
defense and military reforms,无
national gene pool,无
World Consumer Rights Day,无
state funeral,"na. 国葬
"
national park system,无
State Preeminent Science and Technology Award,无
National Day floral displays,无
excessive packaging,无
returnee,n. 海归；回国军人；回校重读的学生
Chinese overseas scholastic,无
overseas shopping representative,无
sponge city,无
Maritime Silk Road,海上丝绸之路
maritime nuclear power plant,无
cross-border online shopping,无
blood-sweating horse,无
hospital appointment scalper,无
Zun of Peace,无
multi-burial grave,无
river chief system,无
nuclear security, 核安全；核安保；核保卫
core module, 核心模块；核心模组；核心单元
people who lack a hukou,无
unregistered citizens,无
black swan event, 黑天鹅事件；黑天鹅现象；黑鹄鹅事务
black taxi,= black cab
black whistle, 黑哨
Black Friday,"na. 黑色星期五
"
pay-photo,无
red envelope photo,无
red notice, 红色通报；红色通缉令；红色通知
iris recognition, 虹膜识别；虹膜辨识；虹膜识别技术
give one's full play,无
after-gaokao economy,无
call forwarding,"un. 呼叫转送
"
online insurance,无
Internet Plus government services,无
online finance,无
internet professional,无
Internet Investment Fund,无
driver's license reciprocal agreement,无
Shanghai-HK Stock Connect,无
outdoor diplomacy,无
chemical weapon substance,无
environmental police force,无
grey divorce,无
returning customer,无
central parity rate,无
buy votes,无
premarital health checkups,无
marital status certificate,无
live poultry trade,无
Rocket Force,无
sense of benefit,无
currency war,"un. 货币战
"
hunger marketing,无
city for opportunity,无
waterlogged road section,无
points-based hukou system,无
gene-editing technique,无
benchmark rate,标准费率；基准费率
BASIC countries,无
grassroots community,无
central heating,"n. 暖气；集中供暖
"
lucky date,无
auspicious date,无
vested interest group,无
real-time tax refund,无
price-hiking function,无
domestic violence restraining order,无
home services industry,无
family firm,"un. 家庭商号
"
